aceptar,tr. Recibir voluntariamente o sin oposición lo que se da ofrece o encarga
naturalismo,m. Esc.  Tendencia a la representación fiel y descarnada de la realidad
reír,tr. Celebrar con risa algo
memorable,adj. Digno de memoria
progresar,intr. Avanzar mejorar hacer adelantos en determinada materia
entraña,f. Cada uno de los órganos contenidos en las principales cavidades del cuerpo humano y de los animales
césped,m. Hierba menuda y tupida que cubre el suelo
falaz,adj. Embustero falso
opcional,adj. Optativo no obligatorio
monumental,adj. Perteneciente o relativo a un monumento obra pública
hola,interj. U. como salutación familiar
fruncir,tr. Arrugar la frente y las cejas en señal de desabrimiento o de ira
mujer,f. Persona del sexo femenino
neocolonialismo,m. Predominio e influencia determinantes especialmente en el campo de la economía por parte de antiguas potencias coloniales naciones poderosas y empresas internacionales sobre países descolonizados o en vías de desarrollo
medicar,tr. Administrar o prescribir medicinas U. t. c. prnl.
infantil,adj. Perteneciente o relativo a la infancia o a los niños
sintetizar,tr. Hacer síntesis de algo
precipicio,m. Despeñadero por cuya proximidad no se puede andar sin riesgo de caer
pregunta,f. Interrogación que se hace para que alguien responda lo que sabe de un negocio u otra cosa
tenaz,adj. Que se pega ase o prende a una cosa y es dificultoso de separar
uniformar,tr. Hacer uniformes dos o más cosas U. t. c. prnl.
verificar,tr. Comprobar o examinar la verdad de algo
espejo,m. Tabla de cristal azogado por la parte posterior y también de acero u otro material bruñido para que se reflejen en él los objetos que tenga delante
hebilla,"f. Pieza de metal o de otra materia generalmente con uno o varios clavos articulados en una varilla que la cierra por un lado los cuales sujetan la correa cinta etc., que pasa por dicha pieza"
obligación,f. Aquello que alguien está obligado a hacer
médano,m. duna.
urgencia,f. Cualidad de urgente
teléfono,m. Conjunto de aparatos e hilos conductores con los cuales se transmite a distancia la palabra y toda clase de sonidos por la acción de la electricidad
jurisprudencia,f. Ciencia del derecho
suceder,tr. Ir detrás de alguien o de algo seguirlo en el tiempo o en el espacio  Era
yola,f. Embarcación muy ligera movida a remo y con vela
ejército,m. Conjunto de fuerzas aéreas o terrestres de una nación
mencionar,tr. Hacer mención de alguien o algo
tierra,f. Planeta que habitamos
leal,adj. Que guarda a alguien o algo la debida fidelidad U. t. c. s.
hambre,f. Gana y necesidad de comer
vender,tr. Traspasar a alguien por el precio convenido la propiedad de lo que se posee
neurosis,f. Med. Enfermedad funcional del sistema nervioso caracterizada principalmente por inestabilidad emocional
quesadilla,f. Cierto género de pastel compuesto de queso y masa
ganado,m. Conjunto de bestias que se apacientan y andan juntas
etapa,f. Trecho de camino de un recorrido determinado
hábil,adj. Capaz de realizar con éxito una tarea manual
zapatilla,"f. Calzado cómodo y ligero de paño piel etc., y con suela delgada que se usa para estar en casa"
sumar,tr. añadir agregar U. t. c. prnl.
tren,m. Medio de transporte que circula sobre raíles compuesto por uno o más vagones arrastrados por una locomotora
primaveral,adj. Perteneciente o relativo a la primavera
xerocopia,f. Copia fotográfica obtenida por medio de la xerografía
ungüento,m. Todo aquello que sirve para ungir o untar
lujo,m. Abundancia en el adorno o en comodidades y objetos suntuosos
perfumar,tr. Sahumar aromatizar algo quemando materias olorosas U. t. c. prnl.
estima,f. Consideración y aprecio que se hace de alguien o algo por su calidad y circunstancias
aplicar,tr. Poner algo sobre otra cosa o en contacto de otra cosa
pirámide,f. Sólido que tiene por base un polígono cualquiera y cuyas caras tantas en número como los lados de aquel son triángulos que se juntan en un solo punto llamado vértice
yogur,m. Producto lácteo obtenido mediante reducción por evaporación y fermentación bacteriana de la leche
intensidad,f. Grado de fuerza con que se manifiesta un agente natural una magnitud física una cualidad una expresión etc.
cerebro,m. Uno de los centros nerviosos constitutivos del encéfalo existente en todos los vertebrados y situado en la parte anterior y superior de la cavidad craneal
quiniela,f. Juego de pelota entre cinco jugadores
hacer,tr. Producir algo darle el primer ser
hazmerreír,m. coloq. Persona que por su figura ridícula y porte extravagante sirve de diversión a los demás
peculiar,adj. Propio o privativo de cada persona o cosa
hache,f. Letra
resarcir,tr. Indemnizar reparar compensar un daño perjuicio o agravio U. t. c. prnl.
accionar,tr. Poner en funcionamiento un mecanismo o parte de él dar movimiento
inusual,adj. No usual infrecuente
ecosistema,m. Ecol. Sistema ecológico constituido por un medio y los seres vivos que habitan en él así como por sus relaciones mutuas
engaño,m. Acción y efecto de engañar
órgano,m. Instrumento musical de viento compuesto de muchos tubos donde se produce el sonido unos fuelles que impulsan el aire y un teclado y varios registros ordenados para modificar el timbre de las voces
variable,adj. Que varía o puede variar
idolatrar,tr. Adorar ídolos
debate,m. controversia discusión
sudar,intr. Secretar sudor U. t. c. tr.
zumo,m. Líquido de las hierbas flores frutas u otras cosas semejantes que se saca exprimiéndolas o majándolas
judicial,adj. Perteneciente o relativo al juicio a la administración de justicia o a la judicatura
yesca,f. Materia muy seca comúnmente de trapo quemado cardo u hongos secos y preparada de suerte que cualquier chispa prenda en ella
